SKU,Model_Number,Category,Match_Found,Candidate_ASIN,Candidate_Title,Candidate_Price_USD,Candidate_URL
UniFi AI Port,UP-AI-Port,Physical Security,발견,B0DR6ZGBKK,Ubiquiti AI Port (UP-AI-Port),233.83,https://www.amazon.com/Ubiquiti-Networks-UP-AI-Port-AI-Port/dp/B0DR6ZGBKK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6Kqe9rrHB93ycdkdFXRO9uBGM5lNFl4sfyT9bm3A-5x-7tWZMPeBO1pd9SBep9xXwuIzXxNOrL3UiMOs8uThkJtU_hyYX5HZAuAR86Wgc9cMGig7ZFoAiJdEO26HQUjlDVdbKvZvqKddv6Gb8_YUuML0rL8R9CvkiZkudT4U4zBPZ1GGIe9VaBVYStFZUEs_f8LY0NfazaZFg-VnoetTENwGGnEcMg_E4lB8vqsXAJI.UVzxCKE4vtMa9_RFSqElplObN8b-_7ECLCsh-IQIes4&dib_tag=se&keywords=Ubiquiti+UP-AI-Port&qid=1785505026&sr=8-1
UniFi AI Pro,UVC-AI-Pro,Physical Security,발견,B0CFRCFS7P,Ubiquiti NetworksUbiquiti AI Professional Bullet Camera (UVC-AI-Pro),573.93,https://www.amazon.com/Ubiquiti-Professional-Bullet-Camera-UVC-AI-Pro/dp/B0CFRCFS7P/ref=sr_1_1?dib=eyJ2IjoiMSJ9.7jRiwUIJJjCoKjZu35d8q7QTsujVR9qdztAVGaj5SdaUnIash8jJfQWOOtnSog4MNH-fj-DroNhfOb06zHrWn4--RmkDmaAwwIyyg_BZrpyYAwgHJRr_YXubUTzrlmL7ObdRtYfe-H17TytQvdhxRzOgybnDJby_4DLoidCrPiPRnmsSSt8e2HwQDAlTJ7CulFTUu-ZYXh-rSZbwgWaxY6qov4hJ2KSSulw2q9V8-9Q.sdGsHwh8ajRIlJnG6KTMybVCZa87tioZZnZw_QuRki8&dib_tag=se&keywords=Ubiquiti+UVC-AI-Pro&qid=1785505031&sr=8-1
UniFi AI Pro Black,UVC-AI-Pro-B,Physical Security,없음,,,,
UniFi AI Speaker,UP-AI-Speaker,Physical Security,없음,,,,
UniFi AI Theta,UVC-AI-THETA-HUB,Physical Security,없음,,,,
UniFi AI Turret,UVC-AI-Turret,Physical Security,없음,,,,
UniFi AI Turret Black,UVC-AI-Turret-B,Physical Security,없음,,,,
UniFi Access Button,UA-Button,Door Access,없음,,,,
UniFi Access Button Black,UA-Button-B,Door Access,없음,,,,
UniFi Access Card (10-Pack),UA-Card,Door Access,없음,,,,
UniFi Access Rescue KeySwitch,UA-Rescue,Door Access,없음,,,,
UniFi Access Ultra,UA-Ultra,Door Access,없음,,,,
UniFi Alarm Hub Kit,UP-AlarmHub-Kit,Physical Security,없음,,,,
UniFi All-In-One Sensor,UP-Sense,Physical Security,없음,,,,
UniFi Analog Telephone Adapter,UT-ATA,Integrations,없음,,,,
UniFi Building Bridge 2-Pack,UBB,WiFi,없음,,,,
UniFi CloudKey+,UCK-G2-SSD,Physical Security,발견,B0DDM2VGPD,Ubiquiti NetworksCloud Key Gen2 - UCK-G2-SSD,265,https://www.amazon.com/Ubiquiti-Networks-Cloud-Key-Gen2/dp/B0DDM2VGPD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.BNY9EneS2pJ7AQCU92FAXmN83TwHRGAa3T00fAUXozP2BIENA6zTqDzEQKxjPgpLvruDyqbI-BX661b2sVmQwp0bRlUoNwuS5HibTqackBkG00BpAzaHaK-yZZGY7Gkg3r4FHSXFrlw1SAFxSLFajnvhCxG_-IcuRx40VQTJzDCsTDm1bHa6B9euSGEqVKvFGXCChLuiHxkTvtT2-Nqe-TVw3z--fKLG2r4B0ehK5wo.lFslOvJ7zgmnODtG3IG86i8-JyqyZ_IngRgLrS0XHfA&dib_tag=se&keywords=Ubiquiti+UCK-G2-SSD&qid=1785505090&sr=8-1
UniFi CloudKey+,UCK-G2-SSD,Physical Security,발견,B0H54TLVH6,Ubiquiti UCK-G2-SSD CloudKey+ SSD,326.78,https://www.amazon.com/Ubiquiti-Networks-UCK-G2-SSD-CloudKey-SSD/dp/B0H54TLVH6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.BNY9EneS2pJ7AQCU92FAXmN83TwHRGAa3T00fAUXozP2BIENA6zTqDzEQKxjPgpLvruDyqbI-BX661b2sVmQwp0bRlUoNwuS5HibTqackBkG00BpAzaHaK-yZZGY7Gkg3r4FHSXFrlw1SAFxSLFajnvhCxG_-IcuRx40VQTJzDCsTDm1bHa6B9euSGEqVKvFGXCChLuiHxkTvtT2-Nqe-TVw3z--fKLG2r4B0ehK5wo.lFslOvJ7zgmnODtG3IG86i8-JyqyZ_IngRgLrS0XHfA&dib_tag=se&keywords=Ubiquiti+UCK-G2-SSD&qid=1785505090&sr=8-4
UniFi Device Bridge Switch,UDB-Switch (35W),WiFi,없음,,,,
UniFi Display Cast Lite,UC-Cast-Lite,Integrations,없음,,,,
UniFi Display Cast Pro,UC-Cast-Pro,Integrations,발견,B0DP1PSN4R,Ubiquiti NetworksDisplay Cast Pro (UC-Cast-Pro),379,https://www.amazon.com/Ubiquiti-Networks-Display-Cast-UC-Cast-Pro/dp/B0DP1PSN4R/ref=sr_1_1?dib=eyJ2IjoiMSJ9.JwFadxaHLhlAR8pHA5XjqrLPfQOmudRr2pBcNG8eE_kpHjFH3_h-NZEn8Z-gYUzXOAFN49t0vBK9NJr_YbIpPg-Bg5jvypfY1Rbn2u3F5prPgwGbiNAfPdQknsrtJZ6fgFWhRm1Rg_laabljyMYXVBYuyqpshKsSTtEU6XTOsYdsihgTS9jWNQV0iEhtr8XJAbmZ8RnwofvEmJyuLR5eUIZfJ155v6AW8xTCXhKvsQY.0JLN9TJjRVFXfBw7vwu3d2-mquFROWfXGgLTadLTlsE&dib_tag=se&keywords=Ubiquiti+UC-Cast-Pro&qid=1785505103&sr=8-1
UniFi Door Closer,UACC-DoorCloser,Door Access,없음,,,,
UniFi Door Hub,UA-Hub-Door,Door Access,없음,,,,
UniFi Door Hub Mini,UA-Hub-Door-Mini,Door Access,없음,,,,
UniFi Door Lock Relay Cable,UACC-Cable-DoorLockRelay,Door Access,없음,,,,
UniFi Doorbells,UVC-DOORBELL,Physical Security,없음,,,,
UniFi Doorbells Black,UVC-DOORBELL-B,Physical Security,없음,,,,
UniFi E7,E7,WiFi,발견,B0G3LSGFRQ,Ubiquiti UniFi E7 Audience Enterprise Access Point WiFi 7 Access Point (E7-Audience-US),1799.99,https://www.amazon.com/Ubiquiti-Audience-Enterprise-Access-E7-Audience-US/dp/B0G3LSGFRQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.b5B1KwDMTKTGN9eSdLy2IdQGwTsXOUaT_hwO1skqyDhsnx0Sc2Y0cUYgYd3aWxekWVUrHmcGhdqcSChMK-ZgedfSpMt4AoGlsh5BcMzfeKjQGizdBUv7b7xc5mSgj3yoGAOd1KjmhUwPGUkhafoUgoB6hbv6lJVw3WRt2tlL6lhCglXmQikM1B4TKP4o94emZBjPat4wFt5Ks0PGYdkCwdyyc_T4PF8dZxjPh1iRuxQ.FxN0cI41wC8Sdixa4COVm73_7aaN5w1epcdmmgbWF0Q&dib_tag=se&keywords=Ubiquiti+E7&qid=1785505131&sr=8-2
UniFi E7 Campus,E7-Campus,WiFi,발견,B0DWCG8J3Z,Ubiquiti NetworksE7 Campus (E7-Campus),794.99,https://www.amazon.com/Ubiquiti-Networks-E7-Campus-E7-Campus/dp/B0DWCG8J3Z/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SKCZYYguSbGLjet6lv7E02x-d1SoVWR2cxroC2bFFnF0S_TTUaMH7_vC4-ww2r43OAFN49t0vBK9NJr_YbIpPi8fTin0Ob-c3kZpEnt2fm5XwrYEzZi4DUr6iPxkYfthKxfgAfW5WbWa6Rjt32CLdiOd_voKs8CUoCu2KyYOBEEEBIZC2boymSciaPU-oLHdxxy5zSr5zQb6SdPRHQ4jwmdP9hI9fs6SpzAHpuVBylU.85sNuctGwvIlncpFvjhVThki3CeefECB-wNb8GlXmYI&dib_tag=se&keywords=Ubiquiti+E7-Campus&qid=1785505135&sr=8-2
UniFi Enterprise Access Hub,EAH-8,Door Access,발견,B0CYH8WLKL,Ubiquiti Enterprise Access Hub (EAH-8),1323,https://www.amazon.com/Ubiquiti-Enterprise-Access-Hub-EAH-8/dp/B0CYH8WLKL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.L1LwDj_kFJbBmLAaF5-FhLJwAjZlbxQ7TwxIrWKo7Y9ucj8Hgnu1jKcNxmeVvUSuHQPAj8uqJHeEQXEL1pqh3sVNu0KTaO3qYHCiYh4ny_qOy1y8zX28gLK3M8mhE_FZdpn1WxgmbrPtgFkS8jq4L6ajBSvwnYSc_cI9yZerOUZYF2MREbK2XD22Y-KNtQOwC_nGNpESNKA7XSlEMb1a7pHx1sukHfF76ZcCc6NYY7I.TQrBgDxXlouh5bbI_qa8ovZMEn7seTVM0m-0PbbylTA&dib_tag=se&keywords=Ubiquiti+EAH-8&qid=1785505138&sr=8-1
UniFi Enterprise Audio/Video Bridge,EAV-Bridge,Integrations,발견,B0H4DSMRD7,Ubiquiti Enterprise Audio/Video Bridge | EAV-Bridge,379.99,https://www.amazon.com/Ubiquiti-Enterprise-Audio-Bridge-EAV-Bridge/dp/B0H4DSMRD7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.cSaSMhP04KyIxm3crya0UqsR4HhvNjDForj4EID5MD1h54_1ts4puuE_wW-JvtR6laAVGRdCkksjUyGeDYYiyUkiqBi1xxjvZTn6fzeSFW06EwTD77496mVO68QR-dgpbeslQQ9l8AZc9d82OF5sl5TAfIMfXhAvxLGw_YLD8qSrzKVVI8cehuKhdhln8HdegXAEb0In3tw2byk5GpckQmwrAqq_D2lCHnxE1j41ZW4.j2teMOUl1Y7SLYomLtclIUJbvYiCrrGMNl307C1ZW5U&dib_tag=se&keywords=Ubiquiti+EAV-Bridge&qid=1785505141&sr=8-1
UniFi Entry Sensor,USL-Entry,Physical Security,없음,,,,
UniFi Environmental Sensor,USL-Environmental,Physical Security,발견,B0G3PPR8S4,Ubiquiti UniFi Environmental Sensor (USL-Environmental),67,https://www.amazon.com/Ubiquiti-UniFi-Environmental-Sensor-USL-Environmental/dp/B0G3PPR8S4/ref=sr_1_1_mod_primary_new?dib=eyJ2IjoiMSJ9.7IDZa1uTNP--P37up3wQKNNAx5Jkvj9Iv3qkYovLmsILokXWwq5Pe5vJtvuCOrbWzGuQ6lyMMkBdPtrAy3webGrNiKJfuGcNs7Ma00zLt69MyVm77XMWnVjREXkWUYW19wfMATEjrmRUMN-B4yjWY24VHcyNscxzeb8B7U4yQ6rIYn-lXy26q_Qo19K_2uREblUM4k1TKGO4-EyEYQdb_89hsU6sM94z9NsB39q1bIE.aGLh8VI3P9y-CZ1V0Z3MSEQioKG7zh3nmxD2phQZD9A&dib_tag=se&keywords=Ubiquiti+USL-Environmental&qid=1785505148&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-1
UniFi Environmental Sensor,USL-Environmental,Physical Security,발견,B0GS7KJ5QM,"Ubiquiti Battery-Powered SuperLink Sensor that Detects Water, USL-Environmental",84.99,https://www.amazon.com/Ubiquiti-Battery-Powered-SuperLink-Detects-USL-Environmental/dp/B0GS7KJ5QM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.7IDZa1uTNP--P37up3wQKNNAx5Jkvj9Iv3qkYovLmsILokXWwq5Pe5vJtvuCOrbWzGuQ6lyMMkBdPtrAy3webGrNiKJfuGcNs7Ma00zLt69MyVm77XMWnVjREXkWUYW19wfMATEjrmRUMN-B4yjWY24VHcyNscxzeb8B7U4yQ6rIYn-lXy26q_Qo19K_2uREblUM4k1TKGO4-EyEYQdb_89hsU6sM94z9NsB39q1bIE.aGLh8VI3P9y-CZ1V0Z3MSEQioKG7zh3nmxD2phQZD9A&dib_tag=se&keywords=Ubiquiti+USL-Environmental&qid=1785505148&sr=8-4
UniFi Flex,USW-Flex (46W),Switching,없음,,,,
UniFi Flex 2.5G PoE,USW-Flex-2.5G-8-PoE,Switching,없음,,,,
UniFi Flex Mini,USW-Flex-Mini,Switching,없음,,,,
UniFi Flex Utility,USW-Flex-Utility,Switching,발견,B086DWTWM4,Ubiquiti Unifi Flex Switch Adapter Kit | USW-Flex-Utility,84.99,https://www.amazon.com/Ubiquiti-Unifi-Switch-Adapter-USW-Flex-Utility/dp/B086DWTWM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9._obo3Nm3e8qr9HYS_rbqGBeySVPfua5Xakitw5CouMqFVoNo70nlMx0FE8lhPrM3NpyAhIa8XXk8aWrdDIyQ2IeMQTKvmY4haEBzeTEPR2XUUD-RvTA4kL9mT7cmraGTmna0TPKJG5tqTgRJ9vd56MdvF-E_iSVtmBgj-NpwAZh983Fes3S16FpgeWKZqAQirryqgXBVAWV_WwHg9pp_wxIVZLjq2_BmRIBa4NQS_Do.EBAa6TGnjSP8abRJrbXWrh3dNEXN7Ds0_-8DHjh4g2Y&dib_tag=se&keywords=Ubiquiti+USW-Flex-Utility&qid=1785505162&sr=8-1
UniFi Flex Utility,USW-Flex-Utility,Switching,발견,B08FP4J5PL,UniFi Switch Flex USW-Flex 5-Port Layer 2 Gigabit Switch PoE with Weatherproof Enclosure UnFi Switch Flex Utility (USW-Flex-Utility),279.98,https://www.amazon.com/USW-Flex-Gigabit-Weatherproof-Enclosure-USW-Flex-Utility/dp/B08FP4J5PL/ref=sr_1_2?dib=eyJ2IjoiMSJ9._obo3Nm3e8qr9HYS_rbqGBeySVPfua5Xakitw5CouMqFVoNo70nlMx0FE8lhPrM3NpyAhIa8XXk8aWrdDIyQ2IeMQTKvmY4haEBzeTEPR2XUUD-RvTA4kL9mT7cmraGTmna0TPKJG5tqTgRJ9vd56MdvF-E_iSVtmBgj-NpwAZh983Fes3S16FpgeWKZqAQirryqgXBVAWV_WwHg9pp_wxIVZLjq2_BmRIBa4NQS_Do.EBAa6TGnjSP8abRJrbXWrh3dNEXN7Ds0_-8DHjh4g2Y&dib_tag=se&keywords=Ubiquiti+USW-Flex-Utility&qid=1785505162&sr=8-2
UniFi Flex Utility Pro,UACC-Flex-Utility-Pro,Switching,없음,,,,
UniFi Floodlight,UP-FloodLight,Physical Security,발견,B0DZXTCSYZ,UP-FLOODLIGHT Protect-Ready LED Floodlight with Long-Distance Motion Sensor,270,https://www.amazon.com/Ubiquiti-UP-FLOODLIGHT-Protect-Ready-Floodlight-Long-Distance/dp/B0DZXTCSYZ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.wsDDyO5aFjF1Tg8ygjSsnU0iaXBLbd2tpcVIUVI_wTZ0heyKrQnivUl9RAmBZcE17Z5dxN0Kc9_emd4KtKYVvC1mGsbgc4jZhrf9O9Ey6983kP9hMxuHbjnAQ7iHfQfFxgVvbII5hF4gjGxBlRVDaJbVXf3Esc9iPZPmNzLRk2Yjr-ydqMP0SBcv5bLpAY7sNHKV9a9ngYyDvNSFIJCgvRcTS08v9j0R3nQgJHvsnD3MyZVYIEu5Px8li9DZoqLseVgtphwdm0vK3x25j7ZuEV4r8RErckigt4Jfewwo1Ec.gOo1omc7pmenojaCCURvON0ns1i9UCzoEFa5vPnemRQ&dib_tag=se&keywords=Ubiquiti+UP-FloodLight&qid=1785505173&sr=8-13
UniFi Floodlight,UP-FloodLight,Physical Security,발견,B09GTYLH68,"Ubiquiti NetworksSmart Flood Light, UP-FloodLight, Motion-Sensor, 550 Lumens, IPX5 Waterproof, PoE, UniFi Protect-Ready",111.98,https://www.amazon.com/Ubiquiti-Protect-Ready-Floodlight-Long-Distance-UP-FloodLight/dp/B09GTYLH68/ref=sr_1_21?dib=eyJ2IjoiMSJ9.wsDDyO5aFjF1Tg8ygjSsnU0iaXBLbd2tpcVIUVI_wTZ0heyKrQnivUl9RAmBZcE17Z5dxN0Kc9_emd4KtKYVvC1mGsbgc4jZhrf9O9Ey6983kP9hMxuHbjnAQ7iHfQfFxgVvbII5hF4gjGxBlRVDaJbVXf3Esc9iPZPmNzLRk2Yjr-ydqMP0SBcv5bLpAY7sNHKV9a9ngYyDvNSFIJCgvRcTS08v9j0R3nQgJHvsnD3MyZVYIEu5Px8li9DZoqLseVgtphwdm0vK3x25j7ZuEV4r8RErckigt4Jfewwo1Ec.gOo1omc7pmenojaCCURvON0ns1i9UCzoEFa5vPnemRQ&dib_tag=se&keywords=Ubiquiti+UP-FloodLight&qid=1785505173&sr=8-21
UniFi G2 Touch,UTP-Touch,Integrations,없음,,,,
UniFi G2 Touch Black,UTP-Touch-B,Integrations,없음,,,,
UniFi G2 Touch Max,UTP-TouchMax,Integrations,없음,,,,
UniFi G2 Touch Max Black,UTP-TouchMax-B,Integrations,없음,,,,
UniFi G3 Elevator Starter Kit,UA-G3-SK-Elevator,Door Access,없음,,,,
UniFi G3 Touch Enterprise,UTP-G3-Touch-Enterprise,Integrations,발견,B0FK1CVTQ4,Ubiquiti UniFi Talk G3 Touch Enterprise Phone - Black (UTP-G3-Touch-Enterprise),355.29,https://www.amazon.com/Ubiquiti-UniFi-Touch-Enterprise-UTP-G3-Touch-Enterprise/dp/B0FK1CVTQ4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.fOpOKGttBt4zvwViKdxIoHEbf18x099ieDUBLbcm0hyzhhJ9pd8TpPgyagmtrIvpKwRR1W1gyYRK3EdwLKXKkHz72-K4aYpalSo8lPMOP_zPGSEUK3u3OcEfl1Dc3IkyhUzXctI7QalPwL3NBll8z7BqCWPQJXp_MgfCYOVudIp5F5R5GEmfwyXkT_6USCtRQMM2dBbxWRav6Lb6kQel31pf_Vo6WXwXFzdiqNrGdH4.t1Q9SfgZmNM3u4YZVnCt-4JT0LaqRjEfLRVelmzcBZ0&dib_tag=se&keywords=Ubiquiti+UTP-G3-Touch-Enterprise&qid=1785505200&sr=8-1
UniFi G3 Touch Pro,UTP-G3-Touch-Pro,Integrations,발견,B0DVGZM1WV,Ubiquiti UTP-G3-Touch-Pro,,https://www.amazon.com/Ubiquiti-Networks-UTP-G3-Touch-Pro/dp/B0DVGZM1WV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.DlHBgTCUkJJw15qpCE-eHFoeRwIqLAckJDbmnCw57XyYcImnrw1lAWrwq9qS6rx08SNKTtsPKhFj1HD69NGD77PtgT3iV8lmv7oxXd-rHaZIoIlZnWJP2ijK3BMLDVVQlogFEbQ6LxIoiGpxQfN8WIK6-u1gNhLKtyE4uhHLYEqQKiPFRTZBt59csQgx-ekcNqJGMQvs2nH3oXEFH2Y2bc2QTN-_fb6psVH8-ffds5c.AjUJDxnkSBi72Bg7jO9_X8f9FGZCnwVncvdq-QFAehs&dib_tag=se&keywords=Ubiquiti+UTP-G3-Touch-Pro&qid=1785505204&sr=8-1
UniFi G3 Touch Pro,UTP-G3-Touch-Pro,Integrations,발견,B0FJRZRQTX,Ubiquiti UTP-G3-Touch-Pro (Renewed),,https://www.amazon.com/Ubiquiti-Networks-UTP-G3-Touch-Pro-Renewed/dp/B0FJRZRQTX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.DlHBgTCUkJJw15qpCE-eHFoeRwIqLAckJDbmnCw57XyYcImnrw1lAWrwq9qS6rx08SNKTtsPKhFj1HD69NGD77PtgT3iV8lmv7oxXd-rHaZIoIlZnWJP2ijK3BMLDVVQlogFEbQ6LxIoiGpxQfN8WIK6-u1gNhLKtyE4uhHLYEqQKiPFRTZBt59csQgx-ekcNqJGMQvs2nH3oXEFH2Y2bc2QTN-_fb6psVH8-ffds5c.AjUJDxnkSBi72Bg7jO9_X8f9FGZCnwVncvdq-QFAehs&dib_tag=se&keywords=Ubiquiti+UTP-G3-Touch-Pro&qid=1785505204&sr=8-3
UniFi G3 Touch Wall,UTP-G3-Touch-Wall,Integrations,발견,B0FK5LXWXG,"Ubiquiti G3 Touch Wall - 7"" Touch Display Wall Phone - Black (UTP-G3-Touch-Wall)",499.99,https://www.amazon.com/Ubiquiti-G3-Touch-Wall-UTP-G3-Touch-Wall/dp/B0FK5LXWXG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FwmmCJ9WucZfkB2kBa1e9yYpNj_OaJZ5jqbkLImEGInsnImh0aYysKH0jDSUxsCeKv9sIzlzHMRdLbz_hf9GvY2-KAKB4QxI1dJIaCI5l9hCGDlJF6vGE8ouSD5lrGHfBTkZsxMqhUCoGISKwxf7WCEkuk7TQItJz5K1uk6VNZ417m5hYFJZb9mXXyke_4-pWVIDx4KCVsNSNYJpHdcsnmDPLG8UJOc_TQqRY2w5bOc.I45-HhbSmWbZp6z-gkUT3GMEx0zMhNJGx1i-2p1Ml_U&dib_tag=se&keywords=Ubiquiti+UTP-G3-Touch-Wall&qid=1785505208&sr=8-1
UniFi G3 Wireless Handset,UT-G3-Handset,Integrations,발견,B0FJMKLGBC,Ubiquiti G3 Wireless Handset for G3 Touch Phones (UT-G3-Handset),140,https://www.amazon.com/Ubiquiti-Wireless-Handset-Phones-UT-G3-Handset/dp/B0FJMKLGBC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8usa9hDDI3FF_tct8FlbvTqXfVYnUdfo-gzOmkBNqRtKZ9-YkxnayEkDwM78gS8wZYz6mQ69xfuEDtoCCHZH9HYIfpelLSMDfjmgIAsjkCcpXRV0K2vtkep3R2wCsEOXAAAiGjJ3EYYgpJJVaFdDOvnpMAFTgdwsobos8ojaUjjdDa6FpaI8dFu5jmwMXjdbBDpVQ-6xWUMFboHpcYYWufjkz1pi5HSEz2ZyRdhNOjI.9AhfsTD-e1ZUjnr1r4WYLjoJYj6E2RP24SKpNbavX4o&dib_tag=se&keywords=Ubiquiti+UT-G3-Handset&qid=1785505211&sr=8-1
UniFi G4 Instant,UVC-G4-INS,Physical Security,발견,B09ZRQP8HR,UbiQuiti UVC-G4-INS,148.99,https://www.amazon.com/Ubiquiti-UniFi-Video-Camera-UVC-G4-INS/dp/B09ZRQP8HR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.s7E2QGBfEEwz8uSAzWzk7mrzIpcDlee0D08bjATjm7oAu8jiY-u0TkJPQpepeI5RYrl7XRZxRzrOYzshkt6r44mNHR8UFr0d8eJqy1FTgu6wjk3CtGWWdy0o-mbPql2zkBEb3M8Mu0AP1LFyeu4yCVs2n9KNnue_r_6Gl3NTanhJKVL6sYX3ykUVL0nsCTIVAHk-1yEngPA5a6PHsPx0FGfSDXdXesZSDx4hmc2yRq4.KWhiZ0PTe_dMXiWpfEqYqloTzfAjN3j-0CZnjBSeqzU&dib_tag=se&keywords=Ubiquiti+UVC-G4-INS&qid=1785505217&sr=8-1
